2023-11-16 14:24:58 | INFO | controller | args: Namespace(host='122.224.74.10', port=20000, log_dir='/home/xgy/logs', ssl=False, name='local')
2023-11-16 14:24:58 | INFO | controller | Daemon init sucess
2023-11-16 14:24:58 | ERROR | stderr | INFO:     Started server process [2202811]
2023-11-16 14:24:58 | ERROR | stderr | INFO:     Waiting for application startup.
2023-11-16 14:24:58 | ERROR | stderr | INFO:     Application startup complete.
2023-11-16 14:24:58 | ERROR | stderr | INFO:     Uvicorn running on http://122.224.74.10:20000 (Press CTRL+C to quit)
2023-11-16 14:25:02 | INFO | stdout | 1
2023-11-16 14:25:07 | INFO | stdout | 1
2023-11-16 14:25:12 | INFO | stdout | 1
2023-11-16 14:25:17 | INFO | stdout | 1
2023-11-16 14:25:22 | INFO | stdout | 1
2023-11-16 14:25:27 | INFO | stdout | 1
2023-11-16 14:25:32 | INFO | stdout | 1
2023-11-16 14:25:37 | INFO | stdout | 1
2023-11-16 14:25:42 | INFO | stdout | 1
2023-11-16 14:25:47 | INFO | stdout | 1
2023-11-16 14:25:52 | INFO | stdout | 1
2023-11-16 14:25:57 | INFO | stdout | 1
2023-11-16 14:26:02 | INFO | stdout | 1
2023-11-16 14:26:07 | INFO | stdout | 1
2023-11-16 14:26:12 | INFO | stdout | 1
2023-11-16 14:26:17 | INFO | stdout | 1
2023-11-16 14:26:22 | INFO | stdout | 1
2023-11-16 14:26:27 | INFO | stdout | 1
2023-11-16 14:26:32 | INFO | stdout | 1
2023-11-16 14:26:37 | INFO | stdout | 1
2023-11-16 14:26:42 | INFO | stdout | 1
2023-11-16 14:26:47 | INFO | stdout | 1
2023-11-16 14:26:52 | INFO | stdout | 1
2023-11-16 14:26:57 | INFO | stdout | 1
2023-11-16 14:27:03 | INFO | stdout | 1
2023-11-16 14:27:08 | INFO | stdout | 1
2023-11-16 14:27:13 | INFO | stdout | 1
2023-11-16 14:27:18 | INFO | stdout | 1
2023-11-16 14:27:23 | INFO | stdout | 1
2023-11-16 14:28:51 | INFO | controller | args: Namespace(host='122.224.74.10', port=20000, log_dir='/home/xgy/logs', ssl=False, name='local')
2023-11-16 14:28:51 | INFO | controller | Daemon init sucess
2023-11-16 14:28:51 | ERROR | stderr | INFO:     Started server process [2208671]
2023-11-16 14:28:51 | ERROR | stderr | INFO:     Waiting for application startup.
2023-11-16 14:28:51 | ERROR | stderr | INFO:     Application startup complete.
2023-11-16 14:28:51 | ERROR | stderr | INFO:     Uvicorn running on http://122.224.74.10:20000 (Press CTRL+C to quit)
2023-11-16 14:28:56 | INFO | stdout | {'model_name': 'e', 'host': '122.224.74.10', 'port': 21007}
2023-11-16 14:28:56 | INFO | stdout | 1
2023-11-16 14:28:56 | INFO | stdout | {'baichuan2_hf': {'worker_num': 2, '1': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116120.543967, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21002, 'worker-address': 'http://122.224.74.10:21002', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '0', 'start_type': 'hf'}}, '2': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116119.2988815, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21003, 'worker-address': 'http://122.224.74.10:21003', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '1', 'start_type': 'hf'}}}, 'baichuan_7B_chat_hf': {'worker_num': 2, '1': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116120.543967, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21002, 'worker-address': 'http://122.224.74.10:21002', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '0', 'start_type': 'hf'}}, '2': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116119.2988815, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21003, 'worker-address': 'http://122.224.74.10:21003', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '1', 'start_type': 'hf'}}}, 'embedding_general': {'worker_num': 2, '1': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116133.656671, 'extend_info': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21004, 'worker-address': 'http://122.224.74.10:21004', 'model-path': '/mnt/sdb/models/paraphrase-multilingual-mpnet-base-v2', 'gpus': '3', 'start_type': 'general'}}, '2': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116121.2800987, 'extend_info': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21007, 'worker-address': 'http://122.224.74.10:21007', 'model-path': '/mnt/sdb/models/paraphrase-multilingual-mpnet-base-v2', 'gpus': '3', 'start_type': 'general'}}}}
2023-11-16 14:29:01 | INFO | stdout | 1
